iteration time doc.count score word.count unseen.score unseen.word.count
1 9 200 -958473.75179 66061 -958473.75179 66061
2 17 400 -1041280.04762 69346 -1041280.04762 69346
3 26 600 -987727.14956 63425 -987727.14956 63425
4 34 800 -1007873.99167 66749 -1005194.65777 66427
5 42 1000 -923505.08966 65532 -923505.08966 65532
6 49 1200 -896962.87200 65792 -896962.87200 65792
7 58 1400 -909876.22032 68976 -909876.22032 68976
8 66 1600 -910373.63132 68385 -910373.63132 68385
9 74 1800 -838099.87593 63461 -838099.87593 63461
10 82 2000 -833423.24529 64745 -828940.84381 64038
11 91 2200 -866597.49192 68172 -866597.49192 68172
12 100 2400 -904423.06991 70268 -903546.26600 70168
13 109 2600 -884274.52909 69200 -880663.19722 68789
14 118 2800 -801777.91549 62490 -801777.91549 62490
15 126 3000 -781287.99495 62347 -780165.45989 62216
16 134 3200 -799428.78941 64100 -789747.67559 63047
17 143 3400 -871416.55338 68818 -867277.06958 68348
18 151 3600 -804505.57154 65239 -802735.11230 65018
19 160 3800 -786175.89226 64893 -775541.11323 63742
20 168 4000 -827757.37923 66791 -808526.71131 64657
21 176 4200 -793667.47676 65306 -779409.82918 63739
22 184 4400 -783334.38561 65876 -765326.57251 63907
23 192 4600 -821147.15316 69301 -817869.15126 68971
24 200 4800 -788055.84511 67438 -772965.07081 65781
25 207 5000 -789449.57021 66019 -781444.69802 65138
26 215 5200 -769167.00172 66312 -751759.99558 64386
27 223 5400 -758290.18078 65016 -750317.51398 64154
28 230 5600 -778693.47619 66308 -774179.53472 65818
29 238 5800 -773894.25405 67094 -754412.86499 65014
30 246 6000 -779798.53242 67264 -771312.53119 66317
31 253 6200 -818036.77418 70101 -811437.23448 69421
32 261 6400 -751034.32315 65297 -746806.16437 64856
33 268 6600 -699882.61971 60682 -693083.11048 60073
34 276 6800 -715455.92450 61356 -693968.34552 59013
35 283 7000 -753909.10330 68911 -725265.69750 65786
36 291 7200 -774843.73018 68472 -760580.70025 66901
37 298 7400 -738185.43260 66442 -733941.14078 66001
38 306 7600 -751468.95688 64253 -742380.30668 63258
39 313 7800 -720306.86435 65285 -703748.32733 63494
40 321 8000 -727908.38534 67287 -715214.72757 65887
41 328 8200 -694483.04940 63589 -678259.66696 61862
42 335 8400 -733136.48372 64517 -719288.33617 63059
43 343 8600 -762405.60133 69661 -747186.13144 68066
44 355 8800 -775260.15098 71001 -765678.96133 69921
45 362 9000 -754376.62574 68173 -737803.67920 66424
46 370 9200 -806131.12140 72725 -799543.70802 72028
47 377 9400 -748233.81139 67826 -743980.02997 67357
48 384 9600 -685554.53919 64976 -662757.55192 62572
49 392 9800 -737410.17200 69501 -702021.88629 65618
50 399 10000 -670622.73706 62828 -644291.33891 60009
51 406 10200 -666733.01027 62725 -658502.05435 61821
52 413 10400 -677764.90204 63992 -653706.38613 61430
53 420 10600 -694827.90925 64944 -682159.56786 63612
54 427 10800 -729731.35603 69333 -703373.45499 66527
55 435 11000 -751993.95936 70098 -739451.24514 68763
56 441 11200 -691516.18638 67139 -680875.07281 66016
57 449 11400 -688005.45426 66231 -651783.34464 62269
58 456 11600 -633335.87614 61187 -608684.08391 58581
59 463 11800 -649562.93746 62497 -618872.06294 59246
60 470 12000 -718798.93313 67335 -692882.53254 64613
61 477 12200 -731910.34797 68378 -718381.68049 66915
62 485 12400 -682747.27380 64685 -660568.02688 62290
63 492 12600 -675186.86750 65297 -650519.69783 62671
64 499 12800 -730929.26733 68213 -703076.22920 65191
65 506 13000 -638450.12187 63331 -607801.83975 60109
66 514 13200 -674035.61862 63303 -645491.49860 60243
67 522 13400 -719897.75361 70210 -689710.97402 67007
68 529 13600 -693143.27971 67626 -662227.38444 64323
69 536 13800 -713252.91222 68853 -682031.93991 65498
70 544 14000 -701364.47165 67943 -674727.21772 65017
71 551 14200 -661771.10002 65126 -625765.43641 61328
72 558 14400 -667988.91153 64647 -637651.83899 61360
73 565 14600 -678911.09877 67704 -640095.43156 63568
74 573 14800 -665210.41493 65004 -629513.71556 61224
75 580 15000 -688656.07519 67844 -668891.43889 65766
76 587 15200 -706342.12925 66944 -667114.51813 62663
77 595 15400 -657334.66642 63859 -636030.92129 61551
78 602 15600 -675077.67170 66231 -632356.48941 61641
79 609 15800 -653703.94028 63670 -597593.10088 57744
80 616 16000 -684993.91917 66917 -650289.41694 63141
81 624 16200 -642896.17907 63926 -614681.19015 60835
82 631 16400 -670506.33523 67303 -633649.56396 63373
83 638 16600 -634017.47048 60868 -608514.16998 58196
84 645 16800 -669795.21132 65131 -639570.49554 61934
85 653 17000 -677686.70494 66999 -654188.35962 64479
86 660 17200 -732272.89836 70434 -679765.77540 65019
87 668 17400 -662494.63798 65469 -622072.30206 61088
88 675 17600 -669976.20494 66409 -639911.76963 63204
89 681 17800 -622369.65892 61734 -596962.50782 59048
90 688 18000 -631222.53833 62811 -609627.44642 60525
91 695 18200 -680530.76428 67801 -646037.29906 64154
92 703 18400 -711548.41726 70059 -660645.77626 64632
93 710 18600 -656095.68104 65095 -592999.66522 58468
94 717 18800 -665358.39611 65627 -617341.21597 60549
95 725 19000 -650340.23051 64130 -616438.34833 60595
96 733 19200 -709184.15509 70028 -667444.04852 65540
97 741 19400 -681076.62404 66915 -642385.06380 62788
98 750 19600 -692882.43520 69488 -644025.32375 64287
99 757 19800 -654614.70466 65628 -624063.42522 62328
100 765 20000 -674114.43257 67303 -645462.15843 64238
101 772 20200 -637491.53017 63246 -600568.62536 59280
102 779 20400 -659476.35219 66256 -624326.86836 62466
103 786 20600 -684211.26803 68924 -663433.90824 66699
104 794 20800 -717671.19650 70214 -656814.82718 63810
105 801 21000 -692238.87605 69013 -640448.63993 63414
106 809 21200 -695854.01181 68998 -634004.42496 62448
107 816 21400 -650133.02593 65167 -603971.26938 60355
108 823 21600 -653300.66390 65035 -626895.10724 62164
109 830 21800 -675670.09364 67122 -639834.83854 63320
110 837 22000 -666246.74964 67699 -633972.32727 64225
111 845 22200 -699040.99330 70119 -652712.18992 65205
112 852 22400 -624502.17075 63171 -569108.59274 57254
113 859 22600 -625453.04386 62814 -598127.90535 59867
114 866 22800 -673725.25876 67076 -630602.61498 62550
115 874 23000 -638724.74513 64207 -612680.77551 61450
116 881 23200 -625652.29402 63176 -587401.67984 59141
117 889 23400 -659010.67681 65776 -588323.26803 58281
118 896 23600 -692362.12696 69256 -608577.94876 60238
119 903 23800 -631016.47156 62844 -601185.66786 59695
120 911 24000 -651742.94983 65851 -613090.65298 61748
121 918 24200 -654194.29815 65466 -622764.34277 62125
122 925 24400 -607367.72396 62123 -564550.15257 57481
123 932 24600 -675749.34915 67051 -649578.03216 64266
124 939 24800 -658750.91530 67118 -601632.69406 60895
125 947 25000 -646844.60490 66725 -592651.49095 60855
126 954 25200 -670989.56528 68304 -617484.35372 62688
127 962 25400 -647993.88617 65072 -615280.07409 61534
128 969 25600 -678819.92575 68086 -638049.96100 63853
129 976 25800 -682413.61537 68128 -610023.65415 60319
130 983 26000 -604187.74466 62172 -541627.79383 55511
131 991 26200 -689844.65967 70887 -634726.54735 65015
132 998 26400 -621108.55952 62456 -580441.21924 58136
133 1005 26600 -612847.00404 62624 -535806.96164 54240
134 1012 26800 -684708.03824 69060 -641459.50845 64443
135 1020 27000 -701684.08944 70095 -646264.72795 64310
136 1027 27200 -690183.86390 70662 -621650.64349 63366
137 1035 27400 -637553.56731 65236 -609890.83319 62242
138 1042 27600 -643685.55652 64725 -572462.52182 57096
139 1049 27800 -655481.84653 64258 -608006.14301 59208
140 1057 28000 -659921.63830 67413 -583930.47054 59178
141 1064 28200 -663243.25940 67149 -578864.97306 57893
142 1071 28400 -688669.42208 69629 -655536.34194 66125
143 1078 28600 -618630.76674 63498 -558902.10621 57064
144 1085 28800 -659727.49391 68408 -575824.29956 59603
145 1093 29000 -652248.19494 66419 -580674.60509 58888
146 1100 29200 -673813.10226 69361 -585600.09117 59619
147 1107 29400 -648939.60292 65678 -589705.50642 59469
148 1115 29600 -649425.32377 66374 -584625.59862 59421
149 1122 29800 -625757.13313 63810 -561652.87021 57089
150 1129 30000 -626411.32903 64653 -564822.88405 57920
151 1137 30200 -689615.31556 70228 -627926.09070 63635
152 1144 30400 -636262.95960 65346 -592718.68057 60538
153 1151 30600 -633292.72925 64850 -577597.65445 58922
154 1158 30800 -637601.22881 65044 -585560.97314 59540
155 1165 31000 -685235.11924 69637 -661226.40082 67090
156 1173 31200 -639901.22567 65774 -560266.70296 57347
157 1180 31400 -644133.19447 66038 -596504.68234 61027
158 1187 31600 -603919.83879 63199 -577277.89858 60400
159 1194 31800 -635206.71348 65314 -566723.06100 57956
160 1201 32000 -691296.97362 71989 -636926.14607 66232
161 1208 32200 -641296.10388 66878 -586279.90855 60968
162 1215 32400 -638050.10574 65301 -592844.38523 60478
163 1222 32600 -609456.49972 63665 -531651.51516 55452
164 1229 32800 -681036.27901 69303 -605962.26551 61083
165 1236 33000 -655107.89430 67808 -572763.38849 58970
166 1244 33200 -653402.11443 67152 -579806.41912 59261
167 1251 33400 -637818.55256 65294 -587610.32956 59991
168 1258 33600 -621187.67541 63763 -563932.11856 57616
169 1265 33800 -629801.16295 64400 -581392.71001 59257
170 1273 34000 -625160.51416 64847 -574016.03301 59430
171 1280 34200 -650673.44207 66456 -602574.18969 61396
172 1287 34400 -648719.81526 66267 -568573.23846 57733
173 1295 34600 -651286.69507 67527 -589088.52592 60925
174 1302 34800 -613872.79256 63611 -537834.38806 55629
175 1309 35000 -647255.54024 67306 -581239.26971 60155
176 1316 35200 -651821.37927 67645 -589700.69227 60999
177 1324 35400 -651624.16342 67404 -582007.71268 59933
178 1331 35600 -637634.24739 66515 -583051.87079 60547
179 1338 35800 -635407.59441 65455 -585445.32792 60149
180 1345 36000 -633882.44884 64694 -547668.04683 55540
181 1352 36200 -612105.29707 63313 -547797.88175 56397
182 1359 36400 -641750.15849 67138 -575401.47197 60043
183 1366 36600 -639272.98815 65476 -549257.42707 55764
184 1373 36800 -663243.80510 69219 -563689.23179 58666
185 1381 37000 -639600.77993 66027 -586317.92782 60416
186 1388 37200 -632004.34353 65824 -550464.64716 57068
187 1395 37400 -643742.27464 67709 -558124.84281 58404
188 1402 37600 -622759.81925 64261 -522128.75582 53413
189 1409 37800 -641088.77751 66837 -505215.13165 52531
190 1416 38000 -619699.38042 63731 -556938.69165 57142
191 1423 38200 -608289.79208 62716 -565324.57285 58164
192 1430 38400 -646376.78565 67015 -571598.17965 58884
193 1438 38600 -639650.67033 66893 -560187.11748 58419
194 1445 38800 -639135.99595 65779 -570537.60839 58545
195 1452 39000 -624085.66401 65089 -553034.46127 57497
196 1459 39200 -623553.57632 64177 -565308.36600 58031
197 1467 39400 -671850.80516 70768 -594547.16776 62498
198 1473 39600 -649084.27156 67302 -596734.14352 61689
199 1480 39800 -614949.91045 64312 -558667.45011 58395
200 1487 40000 -567353.20630 59508 -512132.22881 53601
201 1494 40200 -634758.25442 65289 -572554.41065 58665
202 1501 40400 -658544.43782 67443 -570494.39660 58103
203 1508 40600 -625335.52522 65184 -552962.57033 57429
204 1514 40800 -628110.14266 65189 -543712.37788 56395
205 1522 41000 -637644.97037 66424 -536344.94325 55631
206 1528 41200 -631566.30448 65922 -568359.50388 59040
207 1536 41400 -632879.44873 65910 -526678.33112 54718
208 1543 41600 -633242.63283 66439 -558580.97347 58502
209 1549 41800 -598265.41890 63025 -513670.87041 53829
210 1556 42000 -654622.05983 68734 -559737.21064 58693
