iteration time doc.count score word.count unseen.score unseen.word.count
1 4 100 -471992.49311 32582 -471992.49311 32582
2 9 200 -569476.71414 33479 -569476.71414 33479
3 13 300 -673816.86118 35604 -673816.86118 35604
4 17 400 -620863.00152 33742 -620863.00152 33742
5 21 500 -573899.45564 33178 -573899.45564 33178
6 25 600 -532355.43479 30247 -532355.43479 30247
7 30 700 -569240.17720 31721 -568013.84979 31550
8 34 800 -614134.54338 35028 -612689.65497 34877
9 38 900 -530722.26864 31196 -530722.26864 31196
10 43 1000 -580547.14611 34336 -580547.14611 34336
11 47 1100 -522730.59467 32286 -522730.59467 32286
12 51 1200 -587151.56111 33506 -587151.56111 33506
13 55 1300 -565256.46973 35294 -565256.46973 35294
14 58 1400 -543251.87383 33682 -543251.87383 33682
15 62 1500 -577235.70433 34762 -577235.70433 34762
16 66 1600 -552662.14417 33623 -552662.14417 33623
17 70 1700 -487237.14279 31334 -487237.14279 31334
18 74 1800 -514756.47484 32127 -514756.47484 32127
19 77 1900 -465007.98120 31919 -456748.85551 31212
20 81 2000 -514387.09792 32826 -514387.09792 32826
21 85 2100 -481311.45029 32435 -481311.45029 32435
22 89 2200 -498807.19520 35737 -498807.19520 35737
23 93 2300 -551960.31946 35756 -551038.84791 35656
24 97 2400 -476590.18005 34512 -476590.18005 34512
25 101 2500 -492273.32857 34983 -488668.48520 34572
26 104 2600 -494200.02090 34217 -494200.02090 34217
27 108 2700 -402421.61745 31210 -402421.61745 31210
28 112 2800 -466503.25204 31280 -466503.25204 31280
29 115 2900 -373156.37818 28901 -373156.37818 28901
30 119 3000 -476773.30967 33446 -475500.66045 33315
31 123 3100 -428538.76334 32254 -425811.40386 31958
32 127 3200 -432035.85495 31846 -425129.95013 31089
33 130 3300 -476952.86478 35760 -476952.86478 35760
34 134 3400 -446971.91141 33058 -442470.03264 32588
35 138 3500 -418956.14547 31831 -416373.60749 31610
36 141 3600 -427082.94985 33408 -427082.94985 33408
37 145 3700 -416246.90225 32800 -413589.67413 32503
38 149 3800 -400811.93008 32093 -392746.59485 31239
39 153 3900 -474734.66414 35306 -459476.71656 33694
40 157 4000 -398077.91012 31485 -391663.23181 30963
41 160 4100 -398058.97217 32254 -389878.47531 31408
42 164 4200 -420347.63243 33052 -413434.23197 32331
43 168 4300 -402186.22970 32702 -392917.20993 31717
44 172 4400 -410308.62577 33274 -396961.49947 31838
45 176 4500 -431061.14966 35853 -429137.67083 35681
46 180 4600 -417459.95501 33491 -416003.82274 33333
47 183 4700 -395040.12706 32839 -383503.38705 31591
48 187 4800 -415667.78706 34588 -411799.11658 34179
49 191 4900 -440964.52243 34695 -440964.52243 34695
50 195 5000 -369196.57613 31421 -361144.88418 30540
51 198 5100 -401107.30922 34647 -390420.11451 33456
52 202 5200 -379254.51447 31501 -372417.36701 30766
53 206 5300 -402170.38693 32664 -400271.39319 32470
54 209 5400 -371822.94461 32169 -365541.04557 31501
55 213 5500 -425593.80537 35343 -424441.46424 35227
56 217 5600 -376901.78302 31277 -373495.62480 30903
57 221 5700 -389430.28052 32959 -382483.72777 32214
58 224 5800 -397945.52935 34078 -385114.98226 32743
59 228 5900 -419538.52746 35109 -415015.18359 34601
60 232 6000 -378945.50229 32263 -374966.05351 31824
61 236 6100 -413500.31961 33223 -410136.81547 32877
62 239 6200 -422815.11903 36796 -419401.60294 36462
63 243 6300 -388383.94861 32188 -387500.00405 32095
64 246 6400 -378006.55226 33174 -374607.95672 32826
65 250 6500 -340433.40212 28022 -338698.51503 27848
66 254 6600 -367775.01206 32643 -360575.92747 31958
67 257 6700 -348209.77112 29280 -334125.36082 27798
68 261 6800 -381433.87838 31638 -372857.05739 30768
69 265 6900 -377971.78110 33898 -366632.65764 32697
70 268 7000 -385437.63480 34728 -366938.56208 32804
71 272 7100 -401654.87559 34149 -395112.67172 33446
72 276 7200 -392439.65826 34545 -384530.95363 33677
73 279 7300 -349249.62606 30688 -344896.26967 30247
