iteration time doc.count score word.count unseen.score unseen.word.count
1 2 50 -223892.60340 15429 -223892.60340 15429
2 5 100 -279313.01921 17153 -279313.01921 17153
3 7 150 -317113.49651 17018 -317113.49651 17018
4 10 200 -344669.51125 16461 -344669.51125 16461
5 12 250 -356264.40415 19294 -356264.40415 19294
6 14 300 -289981.64882 16310 -289981.64882 16310
7 17 350 -329665.03459 17535 -329665.03459 17535
8 19 400 -289965.79993 16207 -289965.79993 16207
9 22 450 -288873.76235 16048 -288873.76235 16048
10 25 500 -296876.75391 17130 -296876.75391 17130
11 27 550 -270838.51605 15229 -270838.51605 15229
12 30 600 -262217.81908 15018 -262217.81908 15018
13 32 650 -302763.38982 16362 -302763.38982 16362
14 35 700 -277288.82978 15359 -276066.13339 15188
15 37 750 -287417.19139 16456 -285989.93651 16305
16 40 800 -329232.43307 18572 -329232.43307 18572
17 42 850 -234780.34291 14867 -234780.34291 14867
18 44 900 -297621.41259 16329 -297621.41259 16329
19 47 950 -265106.69562 16377 -265106.69562 16377
20 49 1000 -311617.13705 17959 -311617.13705 17959
21 52 1050 -253198.56591 15751 -253198.56591 15751
22 54 1100 -260010.09555 16535 -260010.09555 16535
23 56 1150 -295966.83540 16321 -295966.83540 16321
24 59 1200 -282852.87168 17185 -282852.87168 17185
25 61 1250 -254786.81121 16417 -254786.81121 16417
26 64 1300 -299371.51481 18877 -299371.51481 18877
27 66 1350 -275618.36140 17506 -275618.36140 17506
28 68 1400 -255794.83866 16176 -255794.83866 16176
29 71 1450 -284228.88639 17077 -284228.88639 17077
30 73 1500 -275431.21740 17685 -275431.21740 17685
31 75 1550 -256432.03242 15392 -256432.03242 15392
32 78 1600 -283603.44710 18231 -283603.44710 18231
33 80 1650 -222708.49729 15063 -222708.49729 15063
34 82 1700 -256199.73389 16271 -256199.73389 16271
35 84 1750 -239863.52424 15188 -239863.52424 15188
36 86 1800 -262804.43358 16939 -262804.43358 16939
37 89 1850 -230674.47754 16426 -226826.67408 16014
