iteration time doc.count score word.count unseen.score unseen.word.count
1 4 100 -471992.49311 32582 -471992.49311 32582
2 9 200 -512849.83509 33479 -512849.83509 33479
3 14 300 -566220.78715 35604 -566220.78715 35604
4 18 400 -502156.51161 33742 -502156.51161 33742
5 22 500 -457431.18070 33178 -457431.18070 33178
6 26 600 -404597.42980 30247 -404597.42980 30247
7 30 700 -422403.66291 31721 -421205.70860 31550
8 34 800 -456010.65620 35028 -454568.34568 34877
9 38 900 -388265.83407 31196 -388265.83407 31196
10 42 1000 -425411.90214 34336 -425411.90214 34336
11 45 1100 -393638.00570 32286 -393638.00570 32286
12 49 1200 -419693.94194 33506 -419693.94194 33506
13 53 1300 -425367.38996 35294 -425367.38996 35294
14 58 1400 -407787.19632 33682 -407787.19632 33682
15 62 1500 -436858.50222 34762 -436858.50222 34762
16 66 1600 -414248.92334 33623 -414248.92334 33623
17 70 1700 -378065.78243 31334 -378065.78243 31334
18 74 1800 -394219.68284 32127 -394219.68284 32127
19 78 1900 -367306.53471 31919 -362972.66539 31212
20 83 2000 -398868.80490 32826 -398868.80490 32826
21 87 2100 -386689.73269 32435 -386689.73269 32435
22 92 2200 -411958.93101 35737 -411958.93101 35737
23 97 2300 -434594.37991 35756 -433677.29022 35656
24 101 2400 -398885.93420 34512 -398885.93420 34512
25 106 2500 -408550.26199 34983 -404922.40906 34572
26 110 2600 -404571.91333 34217 -404571.91333 34217
27 115 2700 -347374.75020 31210 -347374.75020 31210
28 119 2800 -386620.95876 31280 -386620.95876 31280
29 123 2900 -323858.10957 28901 -323858.10957 28901
30 127 3000 -404628.75225 33446 -403390.66359 33315
31 132 3100 -370380.23223 32254 -367537.18447 31958
32 136 3200 -373985.89265 31846 -367117.31481 31089
33 140 3300 -417708.74923 35760 -417708.74923 35760
34 145 3400 -392036.01730 33058 -387746.52038 32588
35 149 3500 -365719.53991 31831 -363517.04188 31610
36 154 3600 -379393.13521 33408 -379393.13521 33408
37 158 3700 -371285.64261 32800 -368642.22518 32503
38 162 3800 -359926.64231 32093 -351940.89979 31239
39 166 3900 -418807.25962 35306 -403590.46284 33694
40 171 4000 -353976.72183 31485 -350295.26641 30963
41 175 4100 -363468.13904 32254 -355404.06812 31408
42 180 4200 -385681.16935 33052 -378844.15916 32331
43 184 4300 -365725.89267 32702 -356714.02299 31717
44 189 4400 -368317.62139 33274 -355135.43794 31838
45 193 4500 -394728.05400 35853 -392913.41083 35681
46 198 4600 -379460.58656 33491 -378008.45920 33333
47 202 4700 -361765.72616 32839 -350265.51811 31591
48 207 4800 -381989.49371 34588 -378241.57695 34179
49 211 4900 -404640.44335 34695 -404640.44335 34695
50 215 5000 -342480.02433 31421 -334480.18257 30540
51 219 5100 -373725.64946 34647 -363102.73227 33456
52 223 5200 -351374.57193 31501 -344593.68021 30766
53 228 5300 -367375.09946 32664 -365489.24859 32470
54 232 5400 -345472.77931 32169 -339417.32422 31501
55 236 5500 -393780.35720 35343 -392641.89632 35227
56 241 5600 -349975.69940 31277 -346615.03294 30903
57 245 5700 -363356.46466 32959 -356442.85038 32214
58 249 5800 -369524.78982 34078 -356973.36173 32743
59 253 5900 -389938.37794 35109 -385445.62064 34601
60 257 6000 -353578.11481 32263 -349554.56514 31824
61 261 6100 -374756.74927 33223 -371468.09485 32877
62 265 6200 -397554.18415 36796 -394264.17864 36462
63 270 6300 -359456.53208 32188 -358571.91132 32095
64 274 6400 -355175.93978 33174 -351822.32066 32826
65 278 6500 -316426.08449 28022 -314733.10755 27848
66 282 6600 -345185.76773 32643 -339361.31786 31958
67 285 6700 -324812.12535 29280 -310869.55985 27798
68 290 6800 -355896.98531 31638 -347841.69191 30768
69 294 6900 -356882.68851 33898 -345775.93087 32697
70 298 7000 -365395.99328 34728 -347595.54133 32804
71 302 7100 -373573.09386 34149 -367097.23347 33446
72 306 7200 -368619.22496 34545 -360870.75583 33677
73 310 7300 -327443.57393 30688 -323212.88842 30247
74 314 7400 -380295.80488 35944 -380295.80488 35944
75 318 7500 -321829.43520 29170 -315790.89906 28503
76 322 7600 -382809.47949 34737 -379833.78997 34409
77 326 7700 -365488.40795 34233 -355318.41948 33132
78 330 7800 -328435.74982 30990 -322000.89432 30300
79 334 7900 -366551.64777 34781 -359605.06659 34030
80 338 8000 -344166.43029 33132 -338464.10390 32483
81 342 8100 -326042.19543 30996 -324061.33294 30788
82 346 8200 -340616.32415 32183 -329874.30535 31044
83 350 8300 -381360.22665 33744 -370068.33664 32539
84 354 8400 -322230.64831 30709 -316356.68070 30076
85 358 8500 -348222.63069 32580 -342532.98015 31977
86 362 8600 -388694.33228 37166 -379230.08849 36174
87 366 8700 -358911.55505 34313 -355592.97573 33938
88 370 8800 -395014.53869 36622 -388740.42312 35917
89 374 8900 -372107.45356 34201 -371075.97571 34089
90 378 9000 -355473.14765 33791 -339930.17501 32154
91 382 9100 -423879.92936 38496 -420579.72238 38147
92 386 9200 -329950.95169 32619 -326660.38607 32271
93 390 9300 -376557.61697 35286 -375089.04627 35129
94 394 9400 -357451.68746 33782 -354671.88209 33470
95 399 9500 -322575.05599 30784 -307562.66543 29194
96 403 9600 -357818.51581 34882 -350087.00287 34068
97 407 9700 -388490.24777 36964 -374895.89124 35410
98 411 9800 -330996.41660 32507 -311875.78832 30427
99 415 9900 -324631.15745 31648 -305360.29400 29550
100 418 10000 -327116.13223 31276 -317799.90352 30306
101 422 10100 -351028.58256 33163 -351028.58256 33163
102 426 10200 -302491.25195 29702 -294219.68151 28798
103 430 10300 -340800.98109 32976 -325210.34089 31329
104 434 10400 -309782.13477 30221 -302248.01346 29306
105 438 10500 -343561.62948 33367 -335568.90965 32539
106 442 10600 -338521.40723 31999 -333834.98123 31495
107 446 10700 -361427.77638 34769 -345009.88991 32963
108 450 10800 -358816.88077 34929 -348990.99873 33929
109 454 10900 -352892.87019 33942 -349022.09566 33533
110 458 11000 -380253.68138 36274 -374134.26955 35633
111 462 11100 -373982.46254 36789 -368189.21820 36150
112 466 11200 -304407.81469 30143 -297188.55939 29374
113 470 11300 -347645.92797 34175 -325686.49377 31782
114 473 11400 -321442.89025 31840 -307452.01479 30271
115 477 11500 -314156.37527 30966 -301596.61498 29612
116 481 11600 -309165.76274 30242 -297431.98434 28990
117 485 11700 -322811.87405 31654 -302763.30489 29560
118 489 11800 -311982.58049 30640 -298190.99153 29151
119 493 11900 -370796.74410 34857 -347045.94756 32351
120 496 12000 -336196.17605 32810 -333910.96861 32594
121 500 12100 -353599.47109 33803 -351064.38012 33521
122 504 12200 -356460.42663 34566 -345486.77550 33385
123 508 12300 -347218.26213 32912 -342972.16044 32448
124 512 12400 -311088.26565 30705 -293135.29789 28774
125 516 12500 -326172.27202 31582 -314287.48110 30308
126 520 12600 -346908.66150 34536 -334215.11747 33184
127 524 12700 -392222.45935 36679 -382504.04648 35602
128 528 12800 -327545.17723 31728 -309615.65786 29783
129 532 12900 -325556.62980 32210 -308164.91718 30336
130 536 13000 -307420.44039 31199 -294239.56227 29851
131 539 13100 -316162.42911 30681 -300799.38229 29069
132 543 13200 -336054.56803 31835 -327019.04253 30836
133 547 13300 -352791.42474 34738 -341660.42780 33543
134 551 13400 -366275.24494 36425 -343112.85428 33968
135 555 13500 -343721.22694 34548 -329568.50425 32746
136 559 13600 -331638.69900 32913 -317424.75763 31412
137 563 13700 -365916.43783 35857 -341299.51126 33217
138 567 13800 -331512.14149 32720 -324973.86080 32005
139 571 13900 -321151.96690 31547 -299543.41082 29180
140 575 14000 -364701.22431 35853 -359636.74261 35294
141 579 14100 -319109.27501 32064 -302208.87728 30197
142 582 14200 -340991.31672 33833 -322930.04635 31902
143 586 14300 -332202.59295 33295 -317326.02507 31698
144 590 14400 -318527.58981 30812 -303026.80250 29122
145 594 14500 -330307.22204 32676 -311832.42808 30694
146 598 14600 -340481.54754 34859 -325778.79989 33273
147 603 14700 -322233.25240 32444 -305631.04971 30702
148 607 14800 -340635.54796 33364 -312288.25672 30323
149 611 14900 -343877.75291 33947 -337413.30121 33283
150 614 15000 -334226.74142 33557 -320956.06239 32143
151 618 15100 -346044.77916 33447 -323859.27870 31041
152 622 15200 -346126.56648 33546 -329149.91354 31671
153 626 15300 -365176.81164 35080 -356733.65608 34166
154 630 15400 -293946.25176 29392 -281155.72499 27998
155 634 15500 -329190.65050 32464 -303092.17849 29643
156 638 15600 -345532.99389 33722 -329013.19481 31953
157 642 15700 -313744.87252 31356 -291243.02245 28982
158 645 15800 -326197.95964 31745 -292757.95507 28193
159 649 15900 -316821.88560 31243 -298120.39918 29181
160 653 16000 -359223.57322 35648 -343473.27151 33934
161 657 16100 -311849.11422 30929 -302931.93068 29955
162 661 16200 -325904.18711 33182 -315791.27770 32042
163 665 16300 -341712.21823 34168 -319377.02110 31831
164 668 16400 -317229.67582 32549 -293478.46520 29979
165 672 16500 -336780.44928 32686 -322203.59962 31129
166 676 16600 -294132.00617 28796 -283670.72555 27681
167 679 16700 -318581.64745 31712 -303552.99779 30109
168 683 16800 -346249.83651 33698 -331238.03345 32104
169 687 16900 -331594.75132 33134 -327395.32168 32699
170 692 17000 -322403.38042 32623 -303152.54198 30538
171 696 17100 -372656.15038 36968 -348780.07422 34457
172 700 17200 -346356.27526 33191 -333109.35907 31806
173 704 17300 -351055.37358 34451 -320185.29056 31249
174 707 17400 -314873.21579 32147 -290268.70095 29449
175 711 17500 -339300.63224 33850 -330933.24344 32960
176 715 17600 -326344.11851 32869 -304665.94439 30554
